> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
SKIPPED: 2026-07-01T09:02+05:30 | 4821 | CREDIT | 45000.00 | SALARY CREDIT | fingerprint=false store=true
SKIPPED: 2026-07-01T09:02+05:30 | 4821 | CREDIT | 45000.00 | SALARY CREDIT | fingerprint=true store=true
SKIPPED: 2026-07-01T10:22+05:30 | 9075 | DEBIT | 22.50 | UPI/VEGETABLE VENDOR | fingerprint=false store=true
SKIPPED: 2026-07-01T11:52+05:30 | 4821 | DEBIT | 99.99 | BIGBASKET | fingerprint=false store=true
SKIPPED: 2026-07-01T18:57+05:30 | 4821 | DEBIT | 99.99 | IRCTC | fingerprint=false store=true
SKIPPED: 2026-07-01T18:57+05:30 | 4821 | DEBIT | 99.99 | IRCTC | fingerprint=true store=true
SKIPPED: 2026-07-01T19:05+05:30 | 4821 | DEBIT | 1249.99 | BLINKIT | fingerprint=false store=true
UNPARSED: id=m-00314-a059eb | channel=sms | sender=BP-DELHVY | body=Your order is out for delivery and will arrive by 7 PM. Track: dlhvry.in/9856586
SKIPPED: 2026-07-01T20:14+05:30 | 4821 | DEBIT | 75.00 | UPI/BARBER | fingerprint=false store=true
SKIPPED: 2026-07-01T21:14+05:30 | 9075 | CREDIT | 18000.00 | NEFT INWARD SELF | fingerprint=false store=true
SKIPPED: 2026-07-02T11:04+05:30 | 4821 | DEBIT | 76.49 | RELIANCE SMART | fingerprint=false store=true
SKIPPED: 2026-07-02T11:14+05:30 | 4821 | DEBIT | 47.33 | SWIGGY | fingerprint=false store=true
SKIPPED: 2026-07-02T11:04+05:30 | 4821 | DEBIT | 76.49 | RELIANCE SMART | fingerprint=true store=true
SKIPPED: 2026-07-02T11:14+05:30 | 4821 | DEBIT | 47.33 | SWIGGY | fingerprint=true store=true
SKIPPED: 2026-07-02T18:38+05:30 | 4821 | DEBIT | 80.00 | UPI/KIRANA STORE | fingerprint=false store=true
SKIPPED: 2026-07-02T19:42+05:30 | 4821 | DEBIT | 30.00 | UPI/KIRANA STORE | fingerprint=false store=true
SKIPPED: 2026-07-03T08:20+05:30 | 4821 | DEBIT | 10.00 | UPI/MILK BOOTH | fingerprint=false store=true
SKIPPED: 2026-07-03T10:41+05:30 | 4821 | DEBIT | 5.00 | UPI/PARKING | fingerprint=false store=true
SKIPPED: 2026-07-03T11:51+05:30 | 3310 | DEBIT | 1249.99 | BLINKIT | fingerprint=false store=true
UNPARSED: id=m-00315-800f10 | channel=sms | sender=BP-DELHVY | body=Your order is out for delivery and will arrive by 7 PM. Track: dlhvry.in/4451179
SKIPPED: 2026-07-03T19:48+05:30 | 4821 | CREDIT | 780.49 | UPI/P2P/REFUND | fingerprint=false store=true
SKIPPED: 2026-07-04T07:54+05:30 | 9075 | DEBIT | 25.00 | UPI/STATIONERY | fingerprint=false store=true
SKIPPED: 2026-07-04T08:25+05:30 | 9075 | DEBIT | 100.00 | UPI/KIRANA STORE | fingerprint=false store=true
SKIPPED: 2026-07-04T11:54+05:30 | 4821 | DEBIT | 5.00 | UPI/WATER CAN | fingerprint=false store=true
SKIPPED: 2026-07-04T12:24+05:30 | 4821 | DEBIT | 154.49 | RELIANCE SMART | fingerprint=false store=true
SKIPPED: 2026-07-04T12:24+05:30 | 4821 | DEBIT | 154.49 | RELIANCE SMART | fingerprint=true store=true
SKIPPED: 2026-07-04T13:56+05:30 | 4821 | DEBIT | 2499.50 | SWIGGY | fingerprint=false store=true
SKIPPED: 2026-07-04T14:48+05:30 | 4821 | DEBIT | 218.51 | MYNTRA | fingerprint=false store=true
SKIPPED: 2026-07-04T13:56+05:30 | 4821 | DEBIT | 2499.50 | SWIGGY | fingerprint=true store=true
SKIPPED: 2026-07-04T18:41+05:30 | 3310 | DEBIT | 47.33 | DMART | fingerprint=false store=true
SKIPPED: 2026-07-05T09:06+05:30 | 4821 | DEBIT | 35.00 | UPI/TEA STALL | fingerprint=false store=true
SKIPPED: 2026-07-05T10:14+05:30 | 4821 | DEBIT | 1234.56 | BIGBASKET | fingerprint=false store=true
SKIPPED: 2026-07-05T11:00+05:30 | 4821 | DEBIT | 8000.00 | IMPS/P2A/PARAG KAPOOR | fingerprint=false store=true
SKIPPED: 2026-07-05T11:02+05:30 | 9075 | CREDIT | 8000.00 | IMPS/P2A/PARAG KAPOOR | fingerprint=false store=true
SKIPPED: 2026-07-05T11:03+05:30 | 4821 | DEBIT | 89.01 | PVR CINEMAS | fingerprint=false store=true
SKIPPED: 2026-07-05T11:03+05:30 | 4821 | DEBIT | 89.01 | PVR CINEMAS | fingerprint=true store=true
SKIPPED: 2026-07-05T17:06+05:30 | 9075 | DEBIT | 80.00 | UPI/AUTO RICKSHAW | fingerprint=false store=true
SKIPPED: 2026-07-05T19:40+05:30 | 4821 | DEBIT | 129.67 | SWIGGY | fingerprint=false store=true
SKIPPED: 2026-07-06T09:09+05:30 | 4821 | DEBIT | 62.67 | SPOTIFY IND | fingerprint=false store=true
SKIPPED: 2026-07-06T11:25+05:30 | 9075 | DEBIT | 129.67 | RELIANCE SMART | fingerprint=false store=true
SKIPPED: 2026-07-06T11:25+05:30 | 9075 | DEBIT | 129.67 | RELIANCE SMART | fingerprint=true store=true
UNPARSED: id=m-00316-92e134 | channel=sms | sender=BP-DELHVY | body=Your order is out for delivery and will arrive by 7 PM. Track: dlhvry.in/5345344
SKIPPED: 2026-07-06T20:36+05:30 | 4821 | DEBIT | 20.00 | UPI/WATER CAN | fingerprint=false store=true
SKIPPED: 2026-07-07T11:31+05:30 | 4821 | DEBIT | 66.67 | UPI/PARKING | fingerprint=false store=true
SKIPPED: 2026-07-07T16:48+05:30 | 9075 | DEBIT | 2750.00 | APOLLO PHARMACY | fingerprint=false store=true
SKIPPED: 2026-07-07T17:21+05:30 | 9075 | DEBIT | 154.49 | BIGBASKET | fingerprint=false store=true
SKIPPED: 2026-07-07T18:08+05:30 | 4821 | DEBIT | 60.00 | UPI/VEGETABLE VENDOR | fingerprint=false store=true
SKIPPED: 2026-07-07T20:13+05:30 | 4821 | DEBIT | 789.01 | PVR CINEMAS | fingerprint=false store=true
SKIPPED: 2026-07-07T22:25+05:30 | 4821 | DEBIT | 30.00 | UPI/TEA STALL | fingerprint=false store=true
SKIPPED: 2026-07-08T08:24+05:30 | 9075 | DEBIT | 15.00 | UPI/BARBER | fingerprint=false store=true
SKIPPED: 2026-07-08T08:27+05:30 | 9075 | DEBIT | 90.00 | UPI/MILK BOOTH | fingerprint=false store=true
